ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken,
ischair,crs,odepartment,action,position,type,udepartment,crstaught,crstaken
true,cs602,ee,read,staff,roster,ee,cs601,cs602
true,ee601,cs,read,advisor,transcript,registrar,ee101,cs601
true,ee601,ee,read,faculty,roster,ee,cs601,ee601
true,cs602,registrar,read,faculty,application,registrar,ee101,cs602
na,ee601,cs,read,faculty,gradebook,ee,ee601,cs602
true,cs101,ce,read,advisor,transcript,registrar,cs601,cs602
true,ee101,registrar,read,student,gradebook,registrar,cs602,ee101
true,cs602,cs,changescore,faculty,gradebook,cs,cs101,cs101
true,cs601,ee,read,advisor,application,ee,cs101,cs601
true,ee101,cs,read,faculty,transcript,registrar,cs601,cs602
false,ee601,admissions,read,faculty,gradebook,ee,ee601,ee601
na,ee101,cs,read,faculty,application,admissions,ee101,cs101
true,ee601,ce,read,student,transcript,registrar,cs601,cs601
na,cs601,cs,read,faculty,gradebook,ce,cs601,cs101
na,ee101,registrar,read,faculty,gradebook,admissions,ee101,cs602
true,ee101,admissions,read,student,transcript,registrar,cs602,ee101
true,cs601,cs,changescore,faculty,gradebook,admissions,cs101,ee601
true,cs601,admissions,read,faculty,gradebook,ee,cs601,ee601
na,ee101,admissions,read,faculty,transcript,ce,ee101,ee601
true,ee601,cs,read,faculty,transcript,admissions,ee601,ee101
true,ee601,cs,changescore,faculty,gradebook,ce,ee101,cs602
na,ee101,ce,read,faculty,application,ee,ee101,cs602
true,cs602,ee,read,staff,roster,ee,cs101,cs602
true,ee101,cs,changescore,faculty,gradebook,registrar,cs602,ee601
true,ee101,cs,changescore,faculty,gradebook,ee,cs602,cs101
true,cs602,cs,changescore,faculty,gradebook,ce,cs601,cs601
true,cs101,registrar,read,advisor,transcript,registrar,ee101,cs601
true,ee101,ee,read,faculty,transcript,admissions,ee101,cs601
na,cs602,registrar,read,faculty,application,ce,cs602,ee101
true,cs602,admissions,read,faculty,application,ce,cs602,ee601
na,cs601,admissions,read,faculty,transcript,ee,cs601,cs101
na,ee601,ce,read,faculty,gradebook,ee,ee601,ee101
false,ee601,cs,read,faculty,gradebook,ce,ee601,cs101
false,cs602,registrar,read,faculty,application,ce,cs602,cs601
false,cs601,cs,read,faculty,gradebook,cs,cs601,cs601
